model_name,train_acc,test_acc,train_recall,test_recall,train_precision,test_precision,train_f1,test_f1
bagging_default,0.9927310488058152,0.9031476997578692,0.96415770609319,0.6527196652719666,0.9981447124304267,0.8082901554404145,0.9808568824065634,0.7222222222222223
bagging_dt_tuned,0.9986154378677743,0.910411622276029,0.992831541218638,0.6527196652719666,1.0,0.8478260869565217,0.9964028776978416,0.7375886524822696
bagging_lg_tuned,0.8431983385254413,0.8329297820823245,0.22580645161290322,0.17573221757322174,0.8571428571428571,0.8076923076923077,0.3574468085106383,0.28865979381443296
rf_default,1.0,0.9031476997578692,1.0,0.5815899581589958,1.0,0.8742138364779874,1.0,0.6984924623115578
rf_tuned,0.9169262720664589,0.8426150121065376,0.8924731182795699,0.6443514644351465,0.7345132743362832,0.5833333333333334,0.8058252427184466,0.6123260437375746
dt_default,1.0,0.8845843422114609,1.0,0.7154811715481172,1.0,0.6951219512195121,1.0,0.7051546391752577
dt_tuned,0.9003115264797508,0.8401937046004843,0.6218637992831542,0.4602510460251046,0.8183962264150944,0.6145251396648045,0.7067209775967414,0.5263157894736842
ada_default,0.847005884389062,0.8216303470540759,0.3870967741935484,0.2928870292887029,0.6835443037974683,0.5737704918032787,0.49427917620137296,0.3878116343490305
ada_tuned,0.9951540325372101,0.8539144471347861,0.985663082437276,0.5774058577405857,0.9892086330935251,0.6330275229357798,0.9874326750448833,0.6039387308533916
gb_default,0.9016960886119765,0.8547215496368039,0.5627240143369175,0.39748953974895396,0.8870056497175142,0.7251908396946565,0.6885964912280701,0.5135135135135135
gb_tuned,0.9435790931118034,0.8692493946731235,0.7347670250896058,0.502092050209205,0.9647058823529412,0.7361963190184049,0.8341810783316379,0.5970149253731343
xgb_default,0.9996538594669436,0.9209039548022598,0.9982078853046595,0.694560669456067,1.0,0.8691099476439791,0.9991031390134528,0.7720930232558141
xgb_tuned,0.9667705088265836,0.8789346246973365,0.989247311827957,0.7824267782426778,0.8598130841121495,0.656140350877193,0.9199999999999999,0.7137404580152673
